time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,4.0,2.0,267,113
2024-11-01 00:00:00+00:00,3.0,2.0,255,102
2024-11-02 00:00:00+00:00,1.0,1.0,114,47
2024-11-03 00:00:00+00:00,2.0,1.0,72,28
2024-11-04 00:00:00+00:00,1.0,1.0,271,111
2024-11-05 00:00:00+00:00,3.0,2.0,370,134
2024-11-06 00:00:00+00:00,5.0,2.0,349,133
2024-11-07 00:00:00+00:00,5.0,3.0,320,122
2024-11-08 00:00:00+00:00,12.0,5.0,517,131
2024-11-09 00:00:00+00:00,,,90,40
2024-11-10 00:00:00+00:00,2.0,1.0,77,35
2024-11-11 00:00:00+00:00,4.0,3.0,286,102
2024-11-12 00:00:00+00:00,88.0,11.0,606,143
2024-11-13 00:00:00+00:00,111.0,9.0,728,160
