time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,10.0,3.0,374,102
2024-09-18 00:00:00+00:00,14.0,3.0,437,129
2024-09-19 00:00:00+00:00,8.0,3.0,487,120
2024-09-20 00:00:00+00:00,17.0,6.0,452,112
2024-09-21 00:00:00+00:00,3.0,2.0,246,48
2024-09-22 00:00:00+00:00,1.0,1.0,101,35
2024-09-23 00:00:00+00:00,2.0,2.0,312,107
2024-09-24 00:00:00+00:00,2.0,2.0,306,101
2024-09-25 00:00:00+00:00,2.0,2.0,345,103
2024-09-26 00:00:00+00:00,,,253,90
2024-09-27 00:00:00+00:00,1.0,1.0,245,80
2024-09-28 00:00:00+00:00,1.0,1.0,91,37
2024-09-29 00:00:00+00:00,2.0,1.0,86,39
2024-09-30 00:00:00+00:00,1.0,1.0,304,98
