time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-06 00:00:00+00:00,11,6,295,110
2025-03-07 00:00:00+00:00,9,7,310,108
2025-03-08 00:00:00+00:00,2,2,87,41
2025-03-09 00:00:00+00:00,7,4,98,43
2025-03-10 00:00:00+00:00,7,4,297,113
2025-03-11 00:00:00+00:00,7,6,385,140
2025-03-12 00:00:00+00:00,10,5,280,132
2025-03-13 00:00:00+00:00,8,5,323,146
2025-03-14 00:00:00+00:00,7,5,314,121
2025-03-15 00:00:00+00:00,5,2,185,63
2025-03-16 00:00:00+00:00,4,2,109,46
2025-03-17 00:00:00+00:00,19,10,361,134
2025-03-18 00:00:00+00:00,2,2,277,120
2025-03-19 00:00:00+00:00,4,4,426,151
