time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,126,58,108,58
2026-05-17 00:00:00+00:00,117,49,130,55
2026-05-18 00:00:00+00:00,162,64,268,117
2026-05-19 00:00:00+00:00,101,47,194,117
2026-05-20 00:00:00+00:00,109,54,251,117
2026-05-21 00:00:00+00:00,325,74,216,106
2026-05-22 00:00:00+00:00,104,48,179,100
2026-05-23 00:00:00+00:00,140,59,141,67
2026-05-24 00:00:00+00:00,137,65,105,52
2026-05-25 00:00:00+00:00,139,65,234,109
2026-05-26 00:00:00+00:00,395,135,182,100
2026-05-27 00:00:00+00:00,365,119,255,111
2026-05-28 00:00:00+00:00,242,101,285,102
2026-05-29 00:00:00+00:00,103,48,242,114
