time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-19 00:00:00+00:00,2,2,77,35
2025-01-20 00:00:00+00:00,5,3,443,115
2025-01-21 00:00:00+00:00,2,2,351,127
2025-01-22 00:00:00+00:00,1,1,216,86
2025-01-23 00:00:00+00:00,4,4,310,119
2025-01-24 00:00:00+00:00,14,5,374,84
2025-01-25 00:00:00+00:00,1,1,86,36
2025-01-26 00:00:00+00:00,10,2,175,20
2025-01-27 00:00:00+00:00,31,4,326,93
2025-01-28 00:00:00+00:00,4,4,300,95
2025-01-29 00:00:00+00:00,4,2,319,93
2025-01-30 00:00:00+00:00,8,8,239,71
2025-01-31 00:00:00+00:00,7,4,239,81
2025-02-01 00:00:00+00:00,1,1,65,31
