time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,102,40,152,64
2026-03-09 00:00:00+00:00,98,48,386,157
2026-03-10 00:00:00+00:00,162,54,446,152
2026-03-11 00:00:00+00:00,123,48,498,175
2026-03-12 00:00:00+00:00,99,43,321,132
2026-03-13 00:00:00+00:00,115,46,303,148
2026-03-14 00:00:00+00:00,119,54,133,57
2026-03-15 00:00:00+00:00,99,37,84,47
2026-03-16 00:00:00+00:00,186,76,387,153
2026-03-17 00:00:00+00:00,112,42,404,144
2026-03-18 00:00:00+00:00,219,82,472,161
2026-03-19 00:00:00+00:00,407,125,388,145
2026-03-20 00:00:00+00:00,207,75,409,192
2026-03-21 00:00:00+00:00,120,48,208,82
