time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-09 00:00:00+00:00,14,6,335,141
2025-04-10 00:00:00+00:00,7,5,384,147
2025-04-11 00:00:00+00:00,3,3,295,136
2025-04-12 00:00:00+00:00,5,4,83,41
2025-04-13 00:00:00+00:00,1,1,104,45
2025-04-14 00:00:00+00:00,5,4,301,131
2025-04-15 00:00:00+00:00,9,6,455,166
2025-04-16 00:00:00+00:00,3,3,443,140
2025-04-17 00:00:00+00:00,6,6,409,155
2025-04-18 00:00:00+00:00,45,3,269,86
2025-04-19 00:00:00+00:00,6,3,89,44
2025-04-20 00:00:00+00:00,4,3,87,41
2025-04-21 00:00:00+00:00,13,5,318,120
2025-04-22 00:00:00+00:00,22,8,414,141
